country,date,total
China,2021-01-1,24000000 
China,2021-02-1,52520000 
China,2021-03-1,119821000 
China,2021-04-1,265064000 
China,2021-05-1,661468000 
China,2021-06-1,1244675000 
China,2021-07-1,1652819000 
China,2021-08-1,2067589000 
China,2021-09-1,2156938000 
England,2021-01-1,8543262 
England,2021-02-1,17812739 
England,2021-03-1,29973324 
England,2021-04-1,41277728 
England,2021-05-1,54883579 
England,2021-06-1,65394783 
England,2021-07-1,71308628 
England,2021-08-1,76212080 
England,2021-09-1,77567013 
India,2021-01-1,3758843 
India,2021-02-1,14301266 
India,2021-03-1,65117896 
India,2021-04-1,151998107 
India,2021-05-1,210449895 
India,2021-06-1,329158139 
India,2021-07-1,461518479 
India,2021-08-1,644799225 
India,2021-09-1,752714069 
United Kingdom,2021-01-1,9790576 
United Kingdom,2021-02-1,21091267 
United Kingdom,2021-03-1,35660902 
United Kingdom,2021-04-1,49319518 
United Kingdom,2021-05-1,65211877 
United Kingdom,2021-06-1,77909177 
United Kingdom,2021-07-1,85138553 
United Kingdom,2021-08-1,90997895 
United Kingdom,2021-09-1,92567446 
United States,2021-01-1,31123299 
United States,2021-02-1,75236003 
United States,2021-03-1,150273292 
United States,2021-04-1,240159677 
United States,2021-05-1,294928850 
United States,2021-06-1,326521526 
United States,2021-07-1,345640466 
United States,2021-08-1,370212027 
United States,2021-09-1,381453265 
Brazil,2021-01-1,2074059
Brazil,2021-02-1,8433568
Brazil,2021-03-1,19155981
Brazil,2021-04-1,42698862
Brazil,2021-05-1,67482730
Brazil,2021-06-1,67482730
Brazil,2021-07-1,98827485
Brazil,2021-08-1,142488679
Brazil,2021-09-1,214665906


